"Χρονική σήμανση","Κωδικός Συμμετέχοντα","Σε ποια ηλικιακή ομάδα ανήκετε;","Πόσο συχνά χρησιμοποιείτε κινητό στην καθημερινότητα σας;","Πόσο συχνά κλείνετε ηλεκτρονικά ραντεβού;","Τελευταία φορά που χρησιμοποιήσατε κάποια ψηφιακή υπηρεσία αντί φυσικής παρουσίας;","Έχετε χρησιμοποιήσει ξανά ιστότοπους ψηφιακής διακυβέρνησης όπως το gov;"
"2025/12/19 3:45:02 μ.μ. EET","1","18-25","3","5","τον τελευταίο μήνα","ναι"
"2025/12/19 3:56:50 μ.μ. EET","2","36-50","5","5","την τελευταία εβδομάδα","ναι"
"2025/12/19 4:06:24 μ.μ. EET","3","26-35","3","2","τον τελευταίο μήνα","ναι"
"2025/12/19 4:17:13 μ.μ. EET","4","26-35","5","5","τον τελευταίο μήνα","ναι"
"2025/12/19 4:29:02 μ.μ. EET","5","51-65","5","4","την τελευταία εβδομάδα","ναι"
"2025/12/19 4:44:13 μ.μ. EET","6","18-25","5","3","την τελευταία εβδομάδα","ναι"
"2025/12/19 4:57:27 μ.μ. EET","7","18-25","4","5","την τελευταία εβδομάδα","ναι"
"2025/12/19 5:12:52 μ.μ. EET","8","36-50","4","2","την τελευταία εβδομάδα","ναι"
"2025/12/19 5:23:29 μ.μ. EET","9","26-35","4","3","την τελευταία εβδομάδα","ναι"
"2025/12/19 5:38:56 μ.μ. EET","10","26-35","5","3","την τελευταία εβδομάδα","ναι"
