"Χρονική σήμανση","Κωδικός Συμμετέχοντα","Θα ήθελα να χρησιμοποιώ αυτό το σύστημα συχνά.","Βρήκα το σύστημα υπερβολικά πολύπλοκο.","Βρήκα το σύστημα εύκολο στη χρήση.","Θα χρειαζόμουν τη βοήθεια ενός τεχνικού για να χρησιμοποιήσω το σύστημα.","Οι διάφορες λειτουργίες του συστήματος ήταν καλά ενσωματωμένες.","Υπήρχαν πάρα πολλές ασυνέπειες στο σύστημα.","Φαντάζομαι ότι οι περισσότεροι άνθρωποι θα μάθαιναν να χρησιμοποιούν το σύστημα πολύ γρήγορα.","Βρήκα το σύστημα δύσχρηστο.","Ένιωσα σιγουριά όταν χρησιμοποιούσα το σύστημα.","Χρειάστηκε να μάθω πολλά πράγματα πριν μπορέσω να χρησιμοποιήσω το σύστημα.","Το περιβάλλον που χρησιμοποίησα είναι εφαρμογή σε λειτουργία","Θεωρείτε η εφαρμογή αυτή είναι demo;"
"2025/12/19 3:55:30 μ.μ. EET","1","5","1","5","1","5","1","5","1","5","1","Ναι","Nαι"
"2025/12/19 4:01:26 μ.μ. EET","2","5","1","5","1","5","1","4","1","3","1","Δεν μπορώ να απαντήσω","Nαι"
"2025/12/19 4:15:39 μ.μ. EET","3","5","1","5","1","5","1","5","1","5","2","Ναι","Όχι"
"2025/12/19 4:26:34 μ.μ. EET","4","5","1","5","1","5","1","5","1","5","1","Ναι","Nαι"
"2025/12/19 4:34:36 μ.μ. EET","5","5","1","5","1","3","1","2","2","3","1","Ναι","Όχι"
"2025/12/19 4:47:35 μ.μ. EET","6","5","1","5","1","5","1","5","1","5","1","Όχι","Nαι"
"2025/12/19 5:04:57 μ.μ. EET","7","4","1","4","1","5","1","5","1","5","1","Ναι","Nαι"
"2025/12/19 5:16:25 μ.μ. EET","8","5","1","5","1","4","2","3","1","5","1","Όχι","Nαι"
"2025/12/19 5:34:34 μ.μ. EET","9","4","1","5","1","4","1","5","1","5","1","Όχι","Nαι"
"2025/12/19 5:42:52 μ.μ. EET","10","5","1","5","1","5","1","5","1","5","1","Δεν μπορώ να απαντήσω","Δεν μοπορώ να απαντήσω"
