"Χρονική σήμανση","Κωδικός Συμμετέχοντα","Θα ήθελα να χρησιμοποιώ αυτό το σύστημα συχνά.","Βρήκα το σύστημα υπερβολικά πολύπλοκο.","Βρήκα το σύστημα εύκολο στη χρήση.","Θα χρειαζόμουν τη βοήθεια ενός τεχνικού για να χρησιμοποιήσω το σύστημα.","Οι διάφορες λειτουργίες του συστήματος ήταν καλά ενσωματωμένες.","Υπήρχαν πάρα πολλές ασυνέπειες στο σύστημα.","Φαντάζομαι ότι οι περισσότεροι άνθρωποι θα μάθαιναν να χρησιμοποιούν το σύστημα πολύ γρήγορα.","Βρήκα το σύστημα δύσχρηστο.","Ένιωσα σιγουριά όταν χρησιμοποιούσα το σύστημα.","Χρειάστηκε να μάθω πολλά πράγματα πριν μπορέσω να χρησιμοποιήσω το σύστημα.","Το περιβάλλον που χρησιμοποίησα είναι εφαρμογή σε λειτουργία","Θεωρείτε η εφαρμογή αυτή είναι demo;"
"2025/12/19 3:53:39 μ.μ. EET","1","5","2","4","1","3","3","3","1","5","4","Ναι","Όχι"
"2025/12/19 4:04:33 μ.μ. EET","2","4","2","3","1","3","1","3","3","4","1","Ναι","Nαι"
"2025/12/19 4:13:04 μ.μ. EET","3","5","3","2","1","2","3","3","3","2","1","Ναι","Όχι"
"2025/12/19 4:24:16 μ.μ. EET","4","4","1","3","1","3","2","5","1","5","1","Ναι","Nαι"
"2025/12/19 4:42:03 μ.μ. EET","5","1","5","1","3","1","5","1","5","1","2","Ναι","Όχι"
"2025/12/19 4:55:13 μ.μ. EET","6","2","3","3","2","3","3","3","3","4","4","Ναι","Όχι"
"2025/12/19 5:03:13 μ.μ. EET","7","3","2","3","1","2","3","3","3","4","1","Ναι","Όχι"
"2025/12/19 5:20:56 μ.μ. EET","8","3","4","2","1","2","2","1","5","3","2","Ναι","Όχι"
"2025/12/19 5:32:24 μ.μ. EET","9","3","3","2","1","3","3","4","3","2","1","Όχι","Nαι"
"2025/12/19 5:47:17 μ.μ. EET","10","1","4","1","4","1","2","1","5","1","1","Δεν μπορώ να απαντήσω","Nαι"
